,id,name,all_time_quantity_sold,price,store_id,discount,discount_rate,images,inventory_status,list_price,original_price,rating_average,review_count
26,147920903,Một Thoáng Ta Rực Rỡ Ở Nhân Gian,14098,101000,40395,34000,25,https://salt.tikicdn.com/ts/product/6c/e2/bf/5be96097ea4b7e58f1d4e838cb5063e4.jpg,1,135000,135000,4.8,1988
27,3954355,Yêu Những Điều Không Hoàn Hảo,39949,83400,40395,55600,40,https://salt.tikicdn.com/ts/product/16/2f/ab/85cf6c3b7cc2b66723ddc1d15278a784.png,1,139000,139000,5.0,3926
28,73787185,Những Tù Nhân Của Địa Lý,22426,147000,40395,63000,30,https://salt.tikicdn.com/ts/product/8d/96/9e/c0c1f23db756d50b1944dff9c3988753.jpg,1,210000,210000,4.8,4078
29,117254517,Đại Dương Đen - Những Câu Chuyện Từ Thế Giới Của Trầm Cảm,13044,168000,40395,72000,30,https://salt.tikicdn.com/ts/product/91/82/f6/1111aef015b032d353767ea207b75c30.jpg,1,240000,240000,5.0,2364
30,42230121,Sách Hiểu Về Trái Tim (Tái Bản 2019) - Minh Niệm,35503,129000,40395,29000,18,https://salt.tikicdn.com/ts/product/57/ab/ff/4f7ce7cc3e08cfd8908a5efc1e8f82b4.jpg,1,158000,158000,4.8,3655
31,46240929,Rèn Luyện Tư Duy Phản Biện,30543,64300,40395,34700,35,https://salt.tikicdn.com/ts/product/c3/51/d8/908cd5310a98a19d52d2be9146769fa3.png,1,99000,99000,4.8,4778
32,117238177,Thư Viện Nửa Đêm,10058,90000,40395,60000,40,https://salt.tikicdn.com/ts/product/0e/ac/86/b219b344daa3e0ff49a8bc6887f900d6.png,1,150000,150000,5.0,1869
33,143217512,Điềm Tĩnh Và Nóng Giận,10855,62300,40395,33700,35,https://salt.tikicdn.com/ts/product/fa/5d/f3/6276723d9fad2743db7591aeafb93f0a.jpg,1,96000,96000,4.8,1125
34,72882553,Kỷ Luật Tự Giác (Tặng Kèm Bookmark ),11649,52080,40395,31920,38,https://salt.tikicdn.com/ts/product/3c/42/f4/41509062edf69a9b4d87787e33a0ce22.jpg,1,84000,84000,4.8,2102
35,195801653,Chú Thuật Hồi Chiến - Tập 6,3168,26900,40395,3100,10,https://salt.tikicdn.com/ts/product/fe/24/90/6583692317621758a7645b50aaf42fb6.jpg,1,30000,30000,5.0,794
36,157432544,Giải Thích Ngữ Pháp Tiếng Anh (Với Bài Tập Và Đáp Án) (Tái Bản),10352,143000,40395,77000,35,https://salt.tikicdn.com/ts/product/da/3f/bb/a81df6a04efd34c4d51c42816b222f08.jpg,1,220000,220000,5.0,1459
37,197719874,Suy Nghĩ Thống Kê Trong Đời Thường,1555,114000,40395,46000,29,https://salt.tikicdn.com/ts/product/55/5e/a6/dd0a224ea101cbefb2770bb9c4f5a30d.jpg,1,160000,160000,5.0,169
38,121635152,Không Ai Có Thể Làm Bạn Tổn Thương Trừ Khi Bạn Cho Phép (Tặng Kèm 1 Bộ Bookmark Gồm 4 Cái),11966,77300,40395,41700,35,https://salt.tikicdn.com/ts/product/48/cf/b6/591dc6b51337aca15183552706b57087.jpg,1,119000,119000,5.0,1752
39,190861557,Yêu Những Ngày Nắng Chẳng Ghét Những Ngày Mưa,5352,80520,40395,51480,39,https://salt.tikicdn.com/ts/product/58/c0/b1/1705ea0d4c25cbf08b934272b0bda6c0.png,1,132000,132000,5.0,894
40,196515658,Blue Period - Tập 04,916,36000,40395,12000,25,https://salt.tikicdn.com/ts/product/0b/47/a6/c0c6b79d8894219acaa53815f9ea9a22.jpg,1,48000,48000,5.0,167
